timestamps,open,high,low,close,volume,amount
2025-07-06 04:00:00,108050.49,108218.0,107930.45,108040.31,497.89684,53800914.5992056
2025-07-06 08:00:00,108040.31,108111.0,107800.01,108076.01,740.99603,80007500.6739827
2025-07-06 12:00:00,108076.0,109127.03,108045.76,108905.99,2193.35606,238471695.5692385
2025-07-06 16:00:00,108906.0,108966.62,108266.67,108538.46,922.00834,100170930.2865501
2025-07-06 20:00:00,108538.45,109700.0,108536.86,109203.84,1696.09509,185318093.3042814
2025-07-07 00:00:00,109203.85,109700.0,108679.75,109389.47,1313.66179,143512006.1683744
2025-07-07 04:00:00,109389.46,109447.54,108654.94,109061.08,1068.89272,116530792.4979317
2025-07-07 08:00:00,109061.07,109087.86,108572.52,108642.01,1793.43934,195094169.8157934
2025-07-07 12:00:00,108642.01,108660.0,107970.0,108292.59,2516.39623,272627274.0485764
2025-07-07 16:00:00,108292.59,108493.56,107513.2,108056.68,1826.11433,197272803.9145203
2025-07-07 20:00:00,108056.67,108300.0,107800.01,108262.94,886.8716,95811269.608508
2025-07-08 00:00:00,108262.94,108525.0,107429.57,107901.52,2011.55999,217015425.0438397
2025-07-08 04:00:00,107901.52,108499.0,107750.0,108484.61,1010.06569,109318428.7460685
2025-07-08 08:00:00,108484.61,109005.0,108229.15,108756.37,1314.23794,142839081.7883814
2025-07-08 12:00:00,108756.37,109216.56,108217.07,108268.35,1848.45054,200911170.2002917
2025-07-08 16:00:00,108268.35,109147.56,108096.55,108771.88,2426.90745,264207724.5650227
2025-07-08 20:00:00,108771.87,108974.0,108624.0,108922.98,604.79919,65820983.0962903
2025-07-09 00:00:00,108922.99,109136.0,108348.0,108376.41,994.80226,108129357.0124723
2025-07-09 04:00:00,108376.41,108942.2,108324.53,108714.39,1001.59915,108855052.3146269
2025-07-09 08:00:00,108714.39,109117.0,108553.18,109058.27,1275.99616,138906971.6590984
2025-07-09 12:00:00,109058.27,109769.39,108503.0,109071.32,4108.39131,448787915.9968869
2025-07-09 16:00:00,109071.32,111999.79,109047.49,111750.0,6338.57455,701110536.7320927
2025-07-09 20:00:00,111749.99,111952.33,110559.4,111233.99,3562.92307,396264910.4797468
2025-07-10 00:00:00,111234.0,111581.0,110880.0,111074.51,1687.73466,187676577.2653182
2025-07-10 04:00:00,111074.52,111432.46,110898.0,111230.0,1667.11413,185317856.6667929
2025-07-10 08:00:00,111229.99,111398.96,110870.33,111019.99,1407.79297,156429497.4828012
2025-07-10 12:00:00,111019.99,111408.41,110500.0,111408.4,2221.21737,246563312.5857577
2025-07-10 16:00:00,111408.4,113788.23,111322.32,113301.81,7461.037691,842928067.827464
2025-07-10 20:00:00,113301.8,116868.0,113270.98,116010.0,10438.553844,1207544968.6170895
2025-07-11 00:00:00,116010.01,116950.0,115222.22,116881.7,4456.671301,517817095.40634847
2025-07-11 04:00:00,116881.69,118404.22,116500.0,117526.88,7940.173377,934425772.3682657
2025-07-11 08:00:00,117526.88,118869.98,117526.88,117821.91,4664.06161,550913325.5276984
2025-07-11 12:00:00,117821.91,118259.24,116724.66,116902.59,4711.37408,554423293.0159353
2025-07-11 16:00:00,116902.58,118138.75,116604.87,118108.81,2754.72647,323551279.1533421
2025-07-11 20:00:00,118108.81,118108.81,117146.8,117527.66,1346.51431,158391037.5556568
2025-07-12 00:00:00,117527.66,117847.66,117141.13,117774.42,1268.81982,149190585.4190335
2025-07-12 04:00:00,117774.42,118054.79,117506.37,117731.99,1157.69575,136356402.4926015
2025-07-12 08:00:00,117731.99,118200.0,117625.0,117810.0,1459.36466,172133723.1286137
2025-07-12 12:00:00,117810.0,117861.19,116900.05,117100.01,2887.39027,338989098.5795979
2025-07-12 16:00:00,117100.0,117639.98,117045.86,117550.96,961.54328,112885629.8542009
2025-07-12 20:00:00,117550.96,117563.75,117000.01,117420.0,711.79059,83537913.9328429
2025-07-13 00:00:00,117420.0,117824.76,117224.79,117753.6,696.41148,81839856.5630858
2025-07-13 04:00:00,117753.59,118054.79,117684.22,117999.0,867.97982,102320232.3700867
2025-07-13 08:00:00,117998.99,118086.66,117689.63,118072.01,685.44893,80800840.3864351
2025-07-13 12:00:00,118072.01,119376.0,117989.53,118672.24,3891.104317,461985764.25957537
2025-07-13 16:00:00,118672.23,119488.0,118382.56,118961.08,1749.40157,207998810.9034378
2025-07-13 20:00:00,118961.09,119367.37,118243.68,119086.64,1660.44683,197151352.5290708
2025-07-14 00:00:00,119086.65,121492.48,118905.18,120750.24,5418.532886,651037132.7195898
2025-07-14 04:00:00,120750.25,123218.0,120557.63,122736.04,6981.800221,852109362.6377504
2025-07-14 08:00:00,122736.04,122769.19,121355.55,121467.24,3279.33527,400232242.2261161
2025-07-14 12:00:00,121467.23,122120.0,119611.7,119878.23,6047.71252,731816396.4638782
2025-07-14 16:00:00,119878.22,120526.03,119202.0,119939.41,4127.24496,494761697.0518245
2025-07-14 20:00:00,119939.42,120447.0,119522.72,119841.18,1414.72302,169789349.9779145
2025-07-15 00:00:00,119841.17,119940.83,116840.01,117148.47,6623.40172,783226916.4557787
2025-07-15 04:00:00,117148.46,117765.4,116250.0,116779.12,5478.80575,641355228.4501859
2025-07-15 08:00:00,116779.13,117224.08,116300.0,117113.98,3612.34292,422113509.9488687
2025-07-15 12:00:00,117113.98,118490.71,115736.92,116391.43,8662.27705,1013941396.8105764
2025-07-15 16:00:00,116391.43,117800.6,116019.05,116416.07,5395.39361,631363247.8810889
2025-07-15 20:00:00,116416.07,117972.86,116192.27,117758.09,2246.23978,263258146.0067731
2025-07-16 00:00:00,117758.08,118195.0,117017.29,117482.67,2060.70862,242327967.0161322
2025-07-16 04:00:00,117482.67,118300.0,117275.63,118189.25,1653.72862,195026454.8612277
2025-07-16 08:00:00,118189.24,119310.75,118113.82,118769.06,2658.37376,315801512.9101208
2025-07-16 12:00:00,118769.06,119794.8,118181.14,119095.76,4851.16642,576765577.0309575
2025-07-16 16:00:00,119095.76,119904.13,118471.38,119230.16,2877.33424,343157215.338911
2025-07-16 20:00:00,119230.16,120063.84,118420.0,118630.43,2938.59685,350771656.5661381
2025-07-17 00:00:00,118630.44,119158.28,117683.53,118128.8,2234.06203,264299834.0531444
2025-07-17 04:00:00,118128.8,118772.0,117857.03,118311.75,2080.63383,246240844.7281914
2025-07-17 08:00:00,118311.75,119192.0,117974.99,117995.0,2041.88316,241920625.3500665
2025-07-17 12:00:00,117995.0,119073.46,117453.57,118881.99,3175.79483,375250071.4449286
2025-07-17 16:00:00,118881.99,119880.13,118333.6,118959.66,2433.94045,290063401.1946205
2025-07-17 20:00:00,118959.66,120998.71,118383.97,119177.56,3762.26221,451339578.3522129
2025-07-18 00:00:00,119177.56,120785.49,119020.48,120223.09,2672.86935,320929647.6641785
2025-07-18 04:00:00,120223.08,120820.71,119287.72,119339.51,3649.17934,438348974.8338056
2025-07-18 08:00:00,119339.51,119469.21,118395.0,119171.34,3814.49483,453518238.5194308
2025-07-18 12:00:00,119171.35,119531.48,117315.69,117860.25,5020.77844,594249403.0951953
2025-07-18 16:00:00,117860.24,118054.92,117120.53,117374.76,2564.58563,301567308.6491522
2025-07-18 20:00:00,117374.75,118021.62,116812.76,117924.84,2202.75507,258741945.7085455
2025-07-19 00:00:00,117924.84,118371.42,117613.35,118322.54,1323.00452,156191669.0903747
2025-07-19 04:00:00,118322.53,118364.0,118044.19,118163.06,828.72543,97952430.2042908
2025-07-19 08:00:00,118163.07,118499.9,117943.25,118327.06,1123.42732,132876627.0230446
2025-07-19 12:00:00,118327.05,118327.06,117627.71,118058.11,1656.6673,195570823.898707
2025-07-19 16:00:00,118058.1,118161.51,117605.26,118007.88,780.27633,92001612.0753965
2025-07-19 20:00:00,118007.88,118141.0,117277.34,117840.0,923.70216,108734736.205156
2025-07-20 00:00:00,117840.01,118165.38,117650.0,117958.01,1216.03617,143416026.2846839
2025-07-20 04:00:00,117958.0,118218.0,117760.67,118029.49,940.72723,110956961.8134752
2025-07-20 08:00:00,118029.49,118277.17,117819.88,117878.46,1800.2823,212528108.1199091
2025-07-20 12:00:00,117878.46,118799.8,117723.23,118671.11,3280.10469,387792638.7232007
2025-07-20 16:00:00,118671.12,118856.8,117960.0,118155.01,2119.12806,250843704.6592559
2025-07-20 20:00:00,118155.0,118263.0,116467.02,117265.12,3606.65044,423327244.2155572
2025-07-21 00:00:00,117265.11,118614.7,116515.0,118404.0,2794.62163,328680140.2390304
2025-07-21 04:00:00,118404.01,119676.73,118188.95,119362.67,2783.66639,330931753.0727732
2025-07-21 08:00:00,119364.18,119500.0,118070.16,118070.17,2511.88984,298295891.0351774
2025-07-21 12:00:00,118070.17,119233.71,117778.7,118313.16,3505.38294,415708127.0831122
2025-07-21 16:00:00,118313.16,118399.1,116666.0,116767.67,3816.98929,448592450.7513498
2025-07-21 20:00:00,116767.67,117633.66,116656.88,117380.36,1694.78119,198574904.7819219
2025-07-22 00:00:00,117380.36,117950.0,116128.0,117210.0,3707.46413,434283334.5293523
2025-07-22 04:00:00,117210.0,118594.55,116552.18,117983.68,4279.84175,503272541.9106542
2025-07-22 08:00:00,117983.69,119188.3,117488.19,119154.99,3376.79135,399923323.4508855
2025-07-22 12:00:00,119154.99,119573.53,117550.0,118912.04,4597.23931,546381636.1643715
2025-07-22 16:00:00,118912.04,120183.96,118368.19,119282.1,3067.62854,366136746.1484994
2025-07-22 20:00:00,119282.11,120247.8,119203.2,119954.42,1930.16465,231255181.4481477
2025-07-23 00:00:00,119954.43,120090.0,118532.96,118614.17,2068.11927,246670807.7775239
2025-07-23 04:00:00,118614.16,119006.05,118288.2,118350.35,1564.23355,185581289.5233636
2025-07-23 08:00:00,118350.35,118619.79,117844.24,118538.46,1801.10341,212956680.7359466
2025-07-23 12:00:00,118538.46,118708.24,117301.0,118567.39,4037.18842,476107489.3342059
2025-07-23 16:00:00,118567.39,118567.39,117331.63,118393.64,2651.82367,312834285.2542598
2025-07-23 20:00:00,118393.64,118756.0,117381.8,118755.99,2436.28251,287976434.2613612
2025-07-24 00:00:00,118756.0,119273.36,118466.71,118488.92,1878.28334,223390146.9767955
2025-07-24 04:00:00,118488.92,118610.25,117103.1,118416.21,3786.93245,446192759.3641865
2025-07-24 08:00:00,118416.21,118814.47,117955.59,118600.0,2404.15809,284956988.2420538
2025-07-24 12:00:00,118600.0,119450.0,117832.32,119092.65,4139.29216,491283511.0494331
2025-07-24 16:00:00,119092.65,119395.81,118350.0,118943.42,2166.82662,257751716.2635519
2025-07-24 20:00:00,118943.42,119010.64,118166.94,118340.99,1431.39777,169606531.3057866
